Year,Attribute,Value
2010,Number of countries possessing nuclear weapons,9
2011,Number of countries considering nuclear weapons,1
2011,Number of countries pursuing nuclear weapons,1
2011,Number of countries possessing nuclear weapons,9
2012,Number of countries considering nuclear weapons,1
2012,Number of countries pursuing nuclear weapons,1
2012,Number of countries possessing nuclear weapons,9
2013,Number of countries considering nuclear weapons,1
2013,Number of countries pursuing nuclear weapons,1
2013,Number of countries possessing nuclear weapons,9
2014,Number of countries considering nuclear weapons,1
2014,Number of countries pursuing nuclear weapons,1
2014,Number of countries possessing nuclear weapons,9
2015,Number of countries considering nuclear weapons,1
2015,Number of countries pursuing nuclear weapons,1
2015,Number of countries possessing nuclear weapons,9
2016,Number of countries considering nuclear weapons,1
2016,Number of countries pursuing nuclear weapons,1
2016,Number of countries possessing nuclear weapons,9
2017,Number of countries considering nuclear weapons,1
2017,Number of countries pursuing nuclear weapons,1
2017,Number of countries possessing nuclear weapons,9
2018,Number of countries considering nuclear weapons,1
2018,Number of countries pursuing nuclear weapons,1
2018,Number of countries possessing nuclear weapons,9
2019,Number of countries considering nuclear weapons,1
2019,Number of countries pursuing nuclear weapons,1
2019,Number of countries possessing nuclear weapons,9
2020,Number of countries considering nuclear weapons,1
2020,Number of countries pursuing nuclear weapons,1
2020,Number of countries possessing nuclear weapons,9
2021,Number of countries considering nuclear weapons,1
2021,Number of countries pursuing nuclear weapons,1
2021,Number of countries possessing nuclear weapons,9
2022,Number of countries considering nuclear weapons,1
2022,Number of countries pursuing nuclear weapons,1
2022,Number of countries possessing nuclear weapons,9
2023,Number of countries considering nuclear weapons,1
2023,Number of countries pursuing nuclear weapons,1
2023,Number of countries possessing nuclear weapons,9
